nohup: ignoring input
System check identified some issues:

WARNINGS:
?: (debug_toolbar.W007) JavaScript files are resolving to the wrong content type.
	HINT: The Django Debug Toolbar may not load properly while mimetypes are misconfigured. See the Django documentation for an explanation of why this occurs.
https://docs.djangoproject.com/en/stable/ref/contrib/staticfiles/#static-file-development-view

This typically occurs on Windows machines. The suggested solution is to modify HKEY_CLASSES_ROOT in the registry to specify the content type for JavaScript files.

[HKEY_CLASSES_ROOT\.js]
"Content Type"="application/javascript"
[2026-05-12 17:52:51,988] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC004149
[2026-05-12 17:52:52,339] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: Baby Doll (베이비돌) (FC004149)
[2026-05-12 17:52:52,339] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003133
[2026-05-12 17:52:52,677] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: BeIN(비인) (FC003133)
[2026-05-12 17:52:52,677] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC004067
[2026-05-12 17:52:53,021] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: Bibistudio (FC004067)
[2026-05-12 17:52:53,021] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC002665
[2026-05-12 17:52:53,361] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: Blessing caf\xe9 (FC002665)
[2026-05-12 17:52:53,362] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003496
[2026-05-12 17:52:53,811] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: CGV [계양] (FC003496)
[2026-05-12 17:52:53,811] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC004357
[2026-05-12 17:52:54,160] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: CGV [광주 터미널] (FC004357)
[2026-05-12 17:52:54,160] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003497
[2026-05-12 17:52:54,508] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: CGV [광주금남로] (FC003497)
[2026-05-12 17:52:54,508] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003498
[2026-05-12 17:52:54,848] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: CGV [대구] (FC003498)
[2026-05-12 17:52:54,848] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC004358
[2026-05-12 17:52:55,176] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: CGV [대전 터미널] (FC004358)
[2026-05-12 17:52:55,176] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003672
[2026-05-12 17:52:55,524] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: CGV [대학로] (FC003672)
[2026-05-12 17:52:55,524] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC004624
[2026-05-12 17:52:55,875] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: CGV [부산] (FC004624)
[2026-05-12 17:52:55,875] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC002756
[2026-05-12 17:52:56,218] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: CGV [압구정] (FC002756)
[2026-05-12 17:52:56,218] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC002776
[2026-05-12 17:52:56,561] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: CGV [영등포] (FC002776)
[2026-05-12 17:52:56,561] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC004359
[2026-05-12 17:52:56,907] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: CGV [왕십리] (FC004359)
[2026-05-12 17:52:56,907] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003548
[2026-05-12 17:52:57,265] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: CGV [용산] (FC003548)
[2026-05-12 17:52:57,265] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC004360
[2026-05-12 17:52:57,627] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: CGV [인천] (FC004360)
[2026-05-12 17:52:57,627] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC004362
[2026-05-12 17:52:57,980] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: CGV [피카디리 1958] (FC004362)
[2026-05-12 17:52:57,980] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003499
[2026-05-12 17:52:58,326] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: CGV 대전 (FC003499)
[2026-05-12 17:52:58,326] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003295
[2026-05-12 17:52:58,681] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: CGV 서면 (FC003295)
[2026-05-12 17:52:58,681] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003500
[2026-05-12 17:52:59,034] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: CGV 울산삼산 (FC003500)
[2026-05-12 17:52:59,034] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC003501
[2026-05-12 17:52:59,520] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: CGV 원주 (FC003501)
[2026-05-12 17:52:59,520] DEBUG apps.performances.kopis.client [KOPIS] venue detail: mt10id=FC000343
[2026-05-12 17:52:59,871] DEBUG apps.performances.kopis.sync [Sync] 공연시설 갱신: CGV신한카드아트홀 (FC000343)
